ARIMA,SARIMA,ARIMA + MLP,ARIMA + SVR,ARIMA + RBF,SARIMA + MLP,SARIMA + SVR,SARIMA + RBF,GE ver3,CNN,LSTM,Babu,Oliveira,Oliveira2
1.70E-02,1.70E-02,3.13E-01,1.94E-02,1.83E-02,7.76E-02,1.94E-02,1.88E-02,7.76E-02,5.64E-02,2.74E-02,2.31E-02,3.46E-02,3.84E-02
5.69E-03,5.69E-03,2.33E-03,2.16E-03,5.75E-03,2.21E-03,2.16E-03,5.72E-03,2.07E-03,2.90E-02,5.48E-03,3.63E-03,1.18E-02,4.09E-03
6.67E-03,6.67E-03,8.24E-03,4.77E-03,6.65E-03,8.35E-03,4.77E-03,6.66E-03,4.42E-03,1.79E-02,1.18E-02,4.69E-03,8.13E-03,5.86E-03
1.48E-03,1.48E-03,1.47E-03,1.45E-03,5.90E-03,1.44E-03,1.45E-03,2.27E-03,1.42E-03,3.97E-03,1.88E-03,1.50E-03,1.47E-03,1.58E-03
4.37E-04,4.37E-04,2.69E-04,2.29E-04,5.11E-04,2.68E-04,2.29E-04,5.04E-04,2.28E-04,3.39E-02,9.51E-04,3.39E-04,3.42E-04,2.62E-04
1.14E-02,1.14E-02,1.03E-02,9.93E-03,1.21E-02,1.03E-02,9.93E-03,1.27E-02,9.82E-03,1.87E-02,1.19E-02,1.35E-02,1.24E-02,1.27E-02
1.43E-02,1.43E-02,1.49E-02,1.43E-02,1.43E-02,1.25E-02,1.43E-02,1.43E-02,1.23E-02,6.63E-02,2.85E-02,3.30E-02,1.94E-02,2.61E-02
3.11E-02,3.11E-02,9.42E-03,1.03E-02,3.03E-02,1.06E-02,1.03E-02,3.08E-02,9.77E-03,2.93E-02,3.10E-02,1.72E-02,1.44E-02,1.19E-02
1.38E-02,8.03E-02,1.45E-02,1.94E-02,1.31E-02,9.19E-02,9.65E-02,8.19E-02,1.94E-02,8.50E-02,2.58E-02,7.90E-03,8.73E-03,8.94E-03
1.03E-03,1.03E-03,5.27E-04,4.23E-04,1.55E-03,5.25E-04,4.23E-04,1.10E-03,4.23E-04,3.55E-02,8.32E-04,5.00E-04,7.70E-04,4.35E-04
