experiment_num,dataset,method,phenotype,mse_train,rmse_train,r2_train,mse_val,rmse_val,r2_val,mse_test,rmse_test,r2_test,gp_runtime_seconds,eval_time_seconds,eval_memory_mb,total_memory_mb
,CARSALES,arima,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):arima;(00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):mlp,0.013509683198006564,0.1162311627663019,0.6341214531890504,0.018820418997021703,0.1371875322214876,0.46144829807289156,0.017038023792102466,0.13052978124589984,0.5171854125599986,,0.7678618431091309,0.0,305.46875
,CARSALES,arima + mlp,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):arima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):mlp,0.0012620510124044168,0.03552535731564732,0.9658202650904537,0.08348992349158,0.2889462294122905,-1.3890881705274416,0.31342113703753105,0.5598402781486261,-7.881563896154093,,0.926102876663208,0.03125,305.515625
,CARSALES,arima + svr,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):arima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):svr,0.00724517427388143,0.08511858947304889,0.803781199317023,0.015446759395126804,0.12428499263839864,0.5579865377694015,0.01941651862013008,0.13934316854489165,0.44978487285335556,,1.1472697257995605,0.0,305.515625
,CARSALES,arima + rbf,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):arima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):rbf,0.013192210851297025,0.11485735000990152,0.6427194579804498,0.01919254643271329,0.13853716625048057,0.45079976448513304,0.018257609121548054,0.13512072054850824,0.4826254427613246,,1.229170322418213,0.0,305.515625
,CARSALES,sarima,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):sarima;(00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):mlp,0.01350968319800654,0.11623116276630178,0.634121453189051,0.018820418997021717,0.13718753222148766,0.46144829807289167,0.017038023792102473,0.13052978124589987,0.517185412559998,,1.2559049129486084,0.0,305.515625
,CARSALES,sarima + mlp,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):sarima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):mlp,0.0007260811199031593,0.02694589244955823,0.9803357709338266,0.03583890047456318,0.18931164907253642,-0.02554044353776619,0.07758940773101128,0.2785487528800143,-1.1986879664252204,,1.1555771827697754,0.0,305.515625
,CARSALES,sarima + svr,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):sarima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):svr,0.007245174273881433,0.08511858947304891,0.8037811993170227,0.015446759395126837,0.12428499263839878,0.5579865377694009,0.019416518620130115,0.13934316854489176,0.4497848728533542,,1.2368147373199463,0.0,305.515625
,CARSALES,sarima + rbf,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):sarima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):rbf,0.013484244964354037,0.11612168171514757,0.6348103889565151,0.019446886825289535,0.13945209509107254,0.4435217410090132,0.01879555911105838,0.13709689679587347,0.4673812979345531,,1.2153940200805664,0.0,305.515625
,Electricity,arima,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):arima;(00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):mlp,0.0009477714459959074,0.030785896868467343,0.9440818652820164,0.004041063341977675,0.06356935851475673,0.7694479332372866,0.005687218331749841,0.07541364817955594,0.6160689488733161,,1.1334638595581055,0.140625,305.65625
,Electricity,arima + mlp,1~(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):arima;(01.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000 00.00000):mlp,0.0005033944402661032,0.02243645337984823,0.9702999301719779,0.0015287768006235138,0.0390995754532388,0.9127797262316244,0.0023253728921563094,0.04822212036147217,0.843019415350566,,0.968562126159668,0.390625,306.046875
