Dataset,Genesis-HS_R2,Genesis-HS_RMSE,LSTM_R2,LSTM_RMSE,ARIMA+SVR_R2,ARIMA+SVR_RMSE,ARIMA+MLP_R2,ARIMA+MLP_RMSE,SARIMA+SVR_R2,SARIMA+SVR_RMSE,SARIMA+MLP_R2,SARIMA+MLP_RMSE
B1H,0.9836,0.0224,0.9844,0.0219,0.9372,0.0441,0.966,0.0324,0.9511,0.0389,0.9876,0.0196
CARSALES,-1.2245,0.2802,-3.4403,0.354,0.0749,0.1617,0.2792,0.1425,0.0723,0.1619,0.2315,0.1471
Electricity,0.7475,0.0538,-0.5046,0.1497,0.5923,0.0783,0.6323,0.0743,0.5923,0.0783,0.8311,0.0497
GAS,0.3627,0.0858,-7.1007,0.133,-0.2439,0.0542,0.2377,0.0407,-0.2068,0.0534,0.2125,0.0416
LAKEERIE,0.9588,0.038,0.9542,0.0411,0.9453,0.045,0.9596,0.0386,0.9462,0.0446,0.9595,0.0387
Nordic,0.9712,0.0185,0.9285,0.0313,0.9695,0.0209,0.9694,0.021,0.9684,0.0213,0.9796,0.0171
PIGS,0.1903,0.1001,-0.384,0.1173,-0.5252,0.1232,-0.2411,0.1109,-0.4752,0.1212,-0.1488,0.1069
POLLUTION,0.3007,0.1149,-2.5597,0.1907,-0.6907,0.1318,-0.0803,0.1049,-0.6907,0.1318,-0.0761,0.1046
REDWINE,0.7112,0.1022,-0.5688,0.2348,0.2299,0.1658,0.4937,0.1343,0.2462,0.1641,0.4806,0.136
SUNSPOT,0.5436,0.156,0.8426,0.1002,0.7552,0.125,0.749,0.1263,-2.6177,0.1896,-3.0531,0.2004
