experiment_num,dataset,method,lookback,best_epoch,training_time_sec,peak_memory_mb,peak_python_memory_mb,gpu_memory_mb,mse_train,rmse_train,r2_train,mse_val,rmse_val,r2_val,mse_test,rmse_test,r2_test
1,CARSALES,ARIMA_SVR,10,1,0.0026014999602921307,0.229376,0.031871,0.0,0.005279642694901894,0.07266114983195555,0.8566893178354059,0.020079423428100138,0.14170188223203015,0.3696775129804504,0.026138699403474148,0.16167467149641637,0.07488510986238439
2,CARSALES,ARIMA_SVR,10,1,0.0010772920213639736,0.0,0.014577,0.0,0.005279642694901894,0.07266114983195555,0.8566893178354059,0.020079423428100138,0.14170188223203015,0.3696775129804504,0.026138699403474148,0.16167467149641637,0.07488510986238439
3,CARSALES,ARIMA_SVR,10,1,0.0009768749587237835,0.0,0.014521,0.0,0.005279642694901894,0.07266114983195555,0.8566893178354059,0.020079423428100138,0.14170188223203015,0.3696775129804504,0.026138699403474148,0.16167467149641637,0.07488510986238439
4,CARSALES,ARIMA_SVR,10,1,0.0009321669931523502,0.0,0.014329,0.0,0.005279642694901894,0.07266114983195555,0.8566893178354059,0.020079423428100138,0.14170188223203015,0.3696775129804504,0.026138699403474148,0.16167467149641637,0.07488510986238439
5,CARSALES,ARIMA_SVR,10,1,0.000986041035503149,0.0,0.014321,0.0,0.005279642694901894,0.07266114983195555,0.8566893178354059,0.020079423428100138,0.14170188223203015,0.3696775129804504,0.026138699403474148,0.16167467149641637,0.07488510986238439
6,CARSALES,ARIMA_SVR,10,1,0.0009686670382507145,0.0,0.014313,0.0,0.005279642694901894,0.07266114983195555,0.8566893178354059,0.020079423428100138,0.14170188223203015,0.3696775129804504,0.026138699403474148,0.16167467149641637,0.07488510986238439
7,CARSALES,ARIMA_SVR,10,1,0.0009486249764449894,0.0,0.014259,0.0,0.005279642694901894,0.07266114983195555,0.8566893178354059,0.020079423428100138,0.14170188223203015,0.3696775129804504,0.026138699403474148,0.16167467149641637,0.07488510986238439
8,CARSALES,ARIMA_SVR,10,1,0.0010374169796705246,0.0,0.014427,0.0,0.005279642694901894,0.07266114983195555,0.8566893178354059,0.020079423428100138,0.14170188223203015,0.3696775129804504,0.026138699403474148,0.16167467149641637,0.07488510986238439
9,CARSALES,ARIMA_SVR,10,1,0.001215791970025748,0.0,0.014281,0.0,0.005279642694901894,0.07266114983195555,0.8566893178354059,0.020079423428100138,0.14170188223203015,0.3696775129804504,0.026138699403474148,0.16167467149641637,0.07488510986238439
10,CARSALES,ARIMA_SVR,10,1,0.0010229169856756926,0.0,0.014181,0.0,0.005279642694901894,0.07266114983195555,0.8566893178354059,0.020079423428100138,0.14170188223203015,0.3696775129804504,0.026138699403474148,0.16167467149641637,0.07488510986238439
