experiment_num,dataset,method,lookback,hidden_size,num_layers,dropout,learning_rate,best_epoch,training_time_sec,mse_train,rmse_train,r2_train,mse_val,rmse_val,r2_val,mse_test,rmse_test,r2_test
1,CARSALES,LSTM,10,128,2,0.1,0.001,5,1.5871288776397705,0.03535987197974092,0.18804220797401025,0.04019122741722836,0.07368119906073388,0.27144280992638925,-1.3129606686589304,0.11711395773344928,0.34221916622750587,-3.1449601018695326
2,CARSALES,LSTM,10,128,2,0.1,0.001,5,0.4149739742279053,0.03549427125172669,0.18839923368136796,0.0365430920293347,0.07912505486604211,0.2812917611058705,-1.4838512693011605,0.1250256332527148,0.35358963962864465,-3.4249743717393244
3,CARSALES,LSTM,10,128,2,0.1,0.001,5,0.39264416694641113,0.03640063144634911,0.19078949511529483,0.011940840459621738,0.08520695067490644,0.2919022964536361,-1.6747708794067107,0.1342030899268572,0.3663373990283509,-3.7497878481785367
4,CARSALES,LSTM,10,128,2,0.1,0.001,5,0.3851602077484131,0.0346731575855996,0.18620729734787408,0.058831410847002386,0.08482591611928042,0.2912488903314147,-1.6628096470733924,0.13367578679034436,0.36561699466838843,-3.731125252321166
5,CARSALES,LSTM,10,128,2,0.1,0.001,5,0.40070605278015137,0.036052663940310516,0.18987539055999467,0.021386074454273873,0.08825188223590771,0.29707218354451786,-1.7703557372691479,0.13908064830566214,0.3729351797640739,-3.922417014385183
6,CARSALES,LSTM,10,128,2,0.1,0.001,5,0.4111359119415283,0.03566765773727375,0.1888588301808357,0.03183668726715927,0.07216163944833234,0.2686291857716364,-1.2652594685974288,0.11419505405157115,0.3379275869939759,-3.04165269482142
7,CARSALES,LSTM,10,128,2,0.1,0.001,5,0.39771485328674316,0.03591731387247828,0.18951863726947354,0.025060018255582905,0.0841447701975948,0.2900771797256633,-1.6414274797558157,0.13175390484034247,0.36297920717355486,-3.6631049739749093
8,CARSALES,LSTM,10,128,2,0.1,0.001,5,0.3973078727722168,0.03565210908087145,0.18881766093475327,0.032258740175760026,0.07432877419763767,0.27263303944613476,-1.3332889999124058,0.11853659185223778,0.3442914344741062,-3.195310732793966
9,CARSALES,LSTM,10,128,2,0.1,0.001,5,0.39212799072265625,0.034342115639959266,0.18531625843395194,0.0678172172351168,0.07929340877411233,0.28159085349867513,-1.4891361448561913,0.12531809671586386,0.35400296145069726,-3.435325395728852
10,CARSALES,LSTM,10,128,2,0.1,0.001,5,0.39185595512390137,0.03553959563266647,0.18851948342987382,0.0353128065106878,0.08324401539611699,0.2885203899139834,-1.6131514683107997,0.13132372496754413,0.3623861544920613,-3.6478798168383477
11,CARSALES,LSTM,10,128,2,0.1,0.001,5,0.40013909339904785,0.036331916881420186,0.19060933052036091,0.013806029402069764,0.08591660570976876,0.2931153454013774,-1.6970479895091048,0.134948189616024,0.36735294964927667,-3.7761588166205815
12,CARSALES,LSTM,10,128,2,0.1,0.001,5,0.39211297035217285,0.03566557176214771,0.18885330752239346,0.03189330900002385,0.08168928525607716,0.2858133748726206,-1.564346213915759,0.12983269597085095,0.36032304390761766,-3.595108517655632
13,CARSALES,LSTM,10,128,2,0.1,0.001,5,0.39890098571777344,0.035529330190881614,0.18849225498911518,0.03559145178081724,0.07333728995963307,0.270808585461453,-1.302164858675106,0.11650692899056665,0.3413311134229733,-3.1234758145255492
14,CARSALES,LSTM,10,128,2,0.1,0.001,5,0.38536763191223145,0.0352648454123989,0.18778936448158853,0.042770629656454395,0.06787227692931454,0.26052308329457974,-1.130610101776862,0.1084386082313636,0.3293001795191791,-2.837917472179216
15,CARSALES,LSTM,10,128,2,0.1,0.001,6,0.3998901844024658,0.03495146971981057,0.1869531217172117,0.05127690306810062,0.07659303604816511,0.2767544688856263,-1.404367493077236,0.12190886844033473,0.34915450511247126,-3.3146641572759936
1,Electricity,LSTM,10,128,2,0.1,0.001,131,8.95410418510437,0.00044335904313083565,0.021056092779308217,0.9742106225441785,0.008499049609290679,0.0921902902115547,0.49589460183258904,0.020155547443858918,0.1419702343586814,-0.3404117120793997
2,Electricity,LSTM,10,128,2,0.1,0.001,156,10.212594985961914,0.0004237387236835697,0.020584914954489605,0.9753519003231456,0.008913937350786957,0.09441365023547685,0.47128630328905174,0.024000572580104136,0.1549211818316144,-0.5961188190294069
3,Electricity,LSTM,10,128,2,0.1,0.001,22,2.9387190341949463,0.004006868671854037,0.06329983153100834,0.7669278428051465,0.015254543587379729,0.12350928542979968,0.0952049790870706,0.022339372908258978,0.14946361733966892,-0.48564345226271843
4,Electricity,LSTM,10,128,2,0.1,0.001,16,2.5455100536346436,0.0040287699327068004,0.06347259198037213,0.7656538868733992,0.014068589906839901,0.11861108677876576,0.16554762677359613,0.020178549674687307,0.14205122201053852,-0.34194143781332986
5,Electricity,LSTM,10,128,2,0.1,0.001,33,3.536043167114258,0.003911969663648022,0.06254574057158507,0.7724479430054841,0.018703755220104104,0.13676167306706988,-0.1093786253641218,0.027034094224690358,0.16442047994301184,-0.7978582137333019
6,Electricity,LSTM,10,128,2,0.1,0.001,147,10.087146997451782,0.0003980177547062513,0.019950382319801577,0.9768480416283987,0.01130332580479147,0.10631710024634547,0.32956414924186694,0.025495953906315063,0.15967452491338455,-0.6955667079672321
7,Electricity,LSTM,10,128,2,0.1,0.001,16,2.469259023666382,0.0037765938025175996,0.061453997449454824,0.7803225070528201,0.019774366071736552,0.14062135709676732,-0.17287992662191853,0.028568230766615136,0.1690213914468081,-0.8998834548959529
8,Electricity,LSTM,10,128,2,0.1,0.001,130,7.842161178588867,0.0005920709724247244,0.024332508551826802,0.9655603240193963,0.005245430196942195,0.07242534222868537,0.6888770157196915,0.013839258967081875,0.11764037983227475,0.07964272081191281
9,Electricity,LSTM,10,128,2,0.1,0.001,105,7.712856769561768,0.0006057348761121526,0.024611681700203922,0.9647655199544409,0.006809268800961115,0.08251829373515375,0.5961208231582599,0.01712412278769748,0.13085917158417854,-0.13881177416041734
10,Electricity,LSTM,10,128,2,0.1,0.001,143,9.219748735427856,0.0004764454135308859,0.021827629590289596,0.9722860494287539,0.011624903173210676,0.10781884423982051,0.3104903827855112,0.025428952622714555,0.15946458109158457,-0.6911108972028446
11,Electricity,LSTM,10,128,2,0.1,0.001,131,8.464241027832031,0.0004028470925560302,0.020071051107404172,0.9765671279567385,0.012550788958034525,0.11203030374873811,0.2555731810190979,0.02700955007746392,0.1643458246426234,-0.7962259453716036
12,Electricity,LSTM,10,128,2,0.1,0.001,113,7.337777853012085,0.0006092869224121775,0.0246837380153853,0.9645589039753802,0.008244041592225847,0.09079670474321107,0.5110199304149547,0.01685603100783955,0.129830778353361,-0.12098276888855741
13,Electricity,LSTM,10,128,2,0.1,0.001,18,2.4652349948883057,0.0037547286321386705,0.06127584052576244,0.7815943636682983,0.015762556538153765,0.12554902045875851,0.0650731311044207,0.022923661386903844,0.15140561874284536,-0.5245006017492364
14,Electricity,LSTM,10,128,2,0.1,0.001,17,2.5120608806610107,0.0038106694008181283,0.06173061963740627,0.7783403923757412,0.014280202071252772,0.11949979946114041,0.15299624287747116,0.020380244430840227,0.1427593934942294,-0.35535481763669696
15,Electricity,LSTM,10,128,2,0.1,0.001,30,3.205080032348633,0.0036824219878854765,0.060682962912875935,0.785800307744777,0.018818332781574618,0.1371799284938384,-0.11617458137113301,0.028037031467772616,0.1674426214193167,-0.8645569144683038
1,GAS,LSTM,10,128,2,0.1,0.001,88,2.4236929416656494,0.002063088561773788,0.04542123470111516,0.8889044696871908,0.008852681042099244,0.09408868711008377,0.6316176904085344,0.029927633002114075,0.1729960490939434,-11.671295137253436
2,GAS,LSTM,10,128,2,0.1,0.001,86,2.8049609661102295,0.0016508630481561319,0.040630814022809485,0.9111024561878038,0.00905859628405197,0.09517665829420557,0.6230490396178987,0.02154126051689543,0.14676941274289895,-8.120523150586784
3,GAS,LSTM,10,128,2,0.1,0.001,54,2.0606689453125,0.0037148380957052556,0.06094947166059157,0.7999591893845935,0.01932691002560177,0.13902125745943233,0.19575869517497801,0.014626598027541802,0.12094047307473955,-5.192869995694579
4,GAS,LSTM,10,128,2,0.1,0.001,44,1.5344979763031006,0.0021114019331241866,0.04594999383160118,0.8863028365286232,0.007822116604222237,0.08844273064657285,0.6745020670174467,0.0029450079350659426,0.054267927314998333,-0.24690999532565105
